MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,PreviousQualificationGrade,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Status
Single,1st Phase - General Contingent,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,139,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130,Yes,0,0,1,Female,No,18,No,0,6,6,6,12,0,0,6,7,5,14,0,13,0,0,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119,Yes,0,0,1,Female,Yes,18,No,0,8,8,7,13,0,0,8,8,7,13,0,12,3,-1,Graduate
Single,1st Phase - General Contingent,2,Basic Education,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,130,Yes,0,0,1,Female,No,19,No,0,6,6,0,0,0,0,6,0,0,0,0,12,3,-1,Dropout
Single,Short Cycle Diploma Holders,1,Tourism,Daytime,Professional Higher Technical Course,110,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",111,Yes,0,0,1,Female,Yes,21,No,0,6,7,6,10,0,0,6,8,5,11,0,8,1,3,Graduate
Single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,149,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",137,Yes,0,0,1,Female,Yes,18,No,0,5,7,4,13,0,0,5,5,5,12,0,10,1,1,Graduate
Single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120,Yes,0,0,1,Female,No,20,No,0,6,6,5,13,0,0,6,7,0,0,0,15,2,-4,Dropout
Single,3rd Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,137,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,137,Yes,0,0,1,Female,No,18,No,0,6,10,1,12,0,0,6,14,2,11,0,10,1,1,Enrolled
Single,2nd Phase - General Contingent,2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,127,Yes,0,0,1,Female,No,18,No,0,7,8,7,13,0,0,8,8,8,14,0,15,2,-4,Graduate
Single,1st Phase - General Contingent,1,Equinculture,Daytime,Secondary Education - 12th Year of Schooling or Eq.,137,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136,Yes,0,0,1,Female,No,20,No,0,5,8,4,12,1,0,5,8,4,12,2,10,1,1,Graduate
Single,1st Phase - General Contingent,1,Basic Education,Daytime,Secondary Education - 12th Year of Schooling or Eq.,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124,Yes,0,0,1,Female,No,18,No,0,7,7,6,11,0,0,7,8,6,13,0,16,0,0,Enrolled
Single,1st Phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120,No,0,0,1,Female,Yes,21,No,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,Graduate
Single,3rd Phase - General Contingent,4,Oral Hygiene,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",121,Yes,0,0,1,Female,No,20,No,0,7,14,7,11,0,0,8,9,8,11,0,12,3,-1,Enrolled
Single,1st Phase - General Contingent,4,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,142,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Legislative Power and Executive Bodies,Legislative Power and Executive Bodies,125,Yes,0,0,1,Female,No,18,No,0,8,12,7,12,0,0,8,12,7,12,0,12,3,-1,Graduate
Single,1st Phase - General Contingent,4,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",114,Yes,0,0,1,Female,Yes,19,No,0,6,8,6,13,0,0,6,7,6,12,0,11,0,2,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,126,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123,No,0,0,1,Female,No,19,No,0,7,8,6,13,0,0,8,9,7,14,0,11,0,2,Graduate
Single,1st Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,151,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,157,Yes,0,1,1,Female,Yes,18,No,0,6,8,5,11,0,0,6,12,4,11,0,7,2,0,Enrolled
Single,2nd Phase - General Contingent,2,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,115,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116,Yes,0,0,1,Female,No,21,No,0,6,9,6,11,0,0,6,9,6,13,0,16,0,0,Graduate
Single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,138,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131,Yes,0,0,1,Female,No,18,No,0,5,9,5,12,2,0,5,7,4,13,0,9,0,-3,Enrolled
Single,1st Phase - General Contingent,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122,Yes,0,0,1,Female,No,20,No,0,5,6,5,12,0,0,5,6,5,12,0,16,0,0,Graduate
Single,2nd Phase - General Contingent,2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Higher Education - Degree,Higher Education - Degree,Legislative Power and Executive Bodies,Armed Forces Professions,118,Yes,0,0,1,Male,No,19,No,0,7,9,6,12,0,0,7,7,6,13,0,16,0,0,Enrolled
Single,Technological Specialization Diploma Holders,1,Agronomy,Daytime,Technological Specialization Course,150,Portuguese,Higher Education - Master's,Higher Education - Doctorate,Administrative staff,Specialists in Intellectual and Scientific Activities,150,No,0,0,1,Male,No,21,No,0,6,15,5,11,0,0,6,17,5,10,0,16,0,0,Enrolled
Single,Change of Institution/Course,1,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125,Portuguese,Professional higher technical course,Higher Education - Degree,Specialists in ICT,"Specialists in finance, accounting, administrative organization, public and commercial relations",130,Yes,0,0,1,Male,No,20,No,2,6,7,6,12,0,0,6,9,4,13,0,8,1,3,Graduate
Single,1st Phase - General Contingent,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,143,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138,No,0,0,0,Male,No,18,No,0,5,9,3,11,0,0,5,8,2,13,0,8,1,3,Enrolled
Single,3rd Phase - General Contingent,1,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,138,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134,Yes,0,0,1,Female,No,19,No,0,6,6,6,12,0,0,6,8,6,14,0,12,0,1,Graduate
Single,1st Phase - General Contingent,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131,No,0,0,1,Male,No,34,No,0,5,6,5,12,0,0,5,9,5,13,0,13,0,0,Graduate
Single,Over 23 Years Old,1,Biofuel Production Technologies,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102,No,0,1,0,Male,No,37,No,0,7,7,0,0,0,0,7,7,1,10,0,8,1,3,Dropout
Single,Over 23 Years Old,1,Informatics Engineering,Daytime,11th Year of Schooling - Not Completed,133,Portuguese,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,128,Yes,0,0,1,Male,No,43,No,0,5,0,0,0,0,0,5,0,0,0,0,7,2,0,Dropout
Single,Change of Course,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122,No,0,0,1,Female,No,55,No,0,5,10,1,10,0,0,5,8,2,12,2,16,0,0,Dropout
Divorced,Over 23 Years Old,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,113,Yes,0,0,1,Female,No,39,No,0,5,8,5,11,0,0,5,5,5,11,0,7,2,0,Graduate
Single,Technological Specialization Diploma Holders,1,Equinculture,Daytime,Technological Specialization Course,120,Spanish,Higher Education - Master's,Higher Education - Master's,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,No,0,1,0,Female,No,20,Yes,2,6,13,3,11,0,1,6,11,3,12,0,12,0,1,Dropout
Single,1st Phase - General Contingent,5,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,126,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121,No,0,1,1,Female,No,18,No,0,6,6,4,12,0,0,5,5,0,0,0,12,3,-1,Dropout
Single,1st Phase - General Contingent,2,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",120,Yes,0,0,1,Female,No,22,No,0,5,5,5,14,0,0,5,5,5,15,0,8,1,3,Graduate
Single,1st Phase - General Contingent,6,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,103,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100,Yes,1,0,1,Female,No,22,No,0,7,9,5,13,0,0,8,9,7,14,0,11,0,2,Graduate
Single,2nd Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121,No,0,0,0,Female,No,20,No,0,6,7,4,13,0,0,6,7,5,13,0,12,0,1,Dropout
Single,Over 23 Years Old,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,109,No,0,0,1,Female,No,29,No,0,5,0,0,0,0,0,5,0,0,0,0,16,0,0,Dropout
Single,2nd Phase - General Contingent,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,154,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",134,No,0,0,1,Female,No,24,No,0,5,9,2,11,0,0,5,11,3,14,1,7,2,0,Enrolled
Single,2nd Phase - General Contingent,2,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127,Yes,0,0,1,Female,No,18,No,0,6,6,6,11,0,0,6,8,5,13,0,11,0,2,Graduate
Single,2nd Phase - General Contingent,6,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,132,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132,Yes,0,0,1,Female,Yes,22,No,0,7,8,6,13,0,0,8,9,7,13,0,11,0,2,Graduate
Single,Technological Specialization Diploma Holders,1,Social Service (evening attendance),Evening,Technological Specialization Course,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133,No,0,0,1,Female,Yes,21,No,3,6,6,6,11,0,2,6,7,6,13,0,12,0,1,Graduate
Single,1st Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,139,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126,No,0,0,1,Female,Yes,19,No,0,6,7,5,12,0,0,6,7,6,12,0,12,3,-1,Graduate
Single,Over 23 Years Old,1,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113,No,0,0,1,Female,Yes,24,No,0,6,6,6,13,0,0,6,6,6,14,0,12,0,1,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,139,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121,Yes,0,0,1,Female,Yes,19,No,0,8,10,6,11,0,0,8,10,6,11,0,9,0,-3,Enrolled
Single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121,Yes,0,0,1,Female,Yes,20,No,0,6,11,4,14,0,0,6,12,3,11,0,9,0,-3,Enrolled
Single,1st Phase - General Contingent,3,Equinculture,Daytime,Secondary Education - 12th Year of Schooling or Eq.,167,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,159,No,0,0,1,Female,No,19,No,0,5,7,5,14,0,0,5,5,5,15,0,7,2,0,Graduate
Single,Over 23 Years Old,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,No,0,0,1,Female,No,27,No,0,5,12,5,10,0,0,5,10,5,11,0,9,0,-3,Dropout
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129,Yes,0,0,1,Female,No,18,No,0,7,9,7,13,0,0,8,10,8,13,0,15,2,-4,Graduate
Married,Holders of Other Higher Courses,1,Tourism,Daytime,Higher Education - Degree,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,130,No,0,0,1,Female,No,39,No,0,6,10,0,0,0,0,6,6,0,0,0,12,0,1,Dropout
Single,Over 23 Years Old,1,Equinculture,Daytime,Higher Education - Degree (1st Cycle),129,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155,Yes,0,0,1,Female,No,27,No,0,6,9,5,13,0,5,11,13,10,12,0,12,0,1,Dropout
Single,2nd Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,141,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139,Yes,0,0,1,Female,No,18,No,0,8,8,8,14,0,0,8,8,8,14,0,9,0,-3,Graduate
Single,1st Phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,115,Yes,0,0,1,Female,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,Enrolled
Single,1st Phase - General Contingent,2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114,No,0,0,1,Female,No,18,No,0,7,8,6,13,0,0,8,12,7,12,0,16,0,0,Graduate
Single,Technological Specialization Diploma Holders,1,Social Service,Daytime,Technological Specialization Course,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,131,No,0,0,1,Female,Yes,21,No,3,6,7,6,12,0,2,6,7,6,12,0,13,0,0,Graduate
Single,2nd Phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",126,Yes,0,0,1,Male,Yes,19,No,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Enrolled
Single,2nd Phase - General Contingent,1,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,130,Yes,0,0,1,Male,No,19,No,0,6,6,5,11,0,0,6,8,1,10,0,10,1,1,Enrolled
Single,Change of Course,1,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,116,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120,No,0,0,1,Male,No,24,No,0,6,6,0,0,0,0,6,6,0,0,0,12,3,-1,Enrolled
Divorced,Transfer,1,Nursing,Daytime,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126,Yes,0,0,1,Male,No,29,No,2,7,10,5,11,0,1,8,10,5,11,0,13,0,0,Dropout
Single,1st Phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,139,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128,Yes,0,0,1,Male,Yes,19,No,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Graduate
